% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:21 +0200
% Time (s), Channel A (Input 2) (V), Channel B (Input 1) (V)
-9.483379200000e-02, -7.779678e+00, 3.346361e-01
-9.454416000000e-02, -7.755252e+00, 3.358574e-01
-9.425452800000e-02, -7.736932e+00, 3.346361e-01
-9.396489600000e-02, -7.706400e+00, 3.346361e-01
-9.367526400000e-02, -7.681974e+00, 3.358574e-01
-9.338563200000e-02, -7.657548e+00, 3.358574e-01
-9.309600000000e-02, -7.627015e+00, 3.334148e-01
-9.280636800000e-02, -7.602589e+00, 3.346361e-01
-9.251673600000e-02, -7.584270e+00, 3.346361e-01
-9.222710400000e-02, -7.553737e+00, 3.358574e-01
-9.193747200000e-02, -7.529311e+00, 3.358574e-01
-9.164784000000e-02, -7.504885e+00, 3.346361e-01
-9.135820800000e-02, -7.486566e+00, 3.346361e-01
-9.106857600000e-02, -7.456033e+00, 3.346361e-01
-9.077894400000e-02, -7.437714e+00, 3.358574e-01
-9.048931200000e-02, -7.407181e+00, 3.346361e-01
-9.019968000000e-02, -7.388862e+00, 3.358574e-01
-8.991004800000e-02, -7.364436e+00, 3.358574e-01
-8.962041600000e-02, -7.340010e+00, 3.358574e-01
-8.933078400000e-02, -7.309477e+00, 3.346361e-01
-8.904115200000e-02, -7.285051e+00, 3.358574e-01
-8.875152000000e-02, -7.266732e+00, 3.358574e-01
-8.846188800000e-02, -7.236199e+00, 3.358574e-01
-8.817225600000e-02, -7.211773e+00, 3.346361e-01
-8.788262400000e-02, -7.193454e+00, 3.346361e-01
-8.759299200000e-02, -7.169028e+00, 3.346361e-01
-8.730336000000e-02, -7.138495e+00, 3.346361e-01
-8.701372800000e-02, -7.120176e+00, 3.346361e-01
-8.672409600000e-02, -7.095750e+00, 3.346361e-01
-8.643446400000e-02, -7.077430e+00, 3.346361e-01
-8.614483200000e-02, -7.046898e+00, 3.346361e-01
-8.585520000000e-02, -7.028578e+00, 3.358574e-01
-8.556556800000e-02, -7.004152e+00, 3.358574e-01
-8.527593600000e-02, -6.979726e+00, 3.346361e-01
-8.498630400000e-02, -6.955300e+00, 3.358574e-01
-8.469667200000e-02, -6.918661e+00, 3.334148e-01
-8.440704000000e-02, -6.900342e+00, 3.346361e-01
-8.411740800000e-02, -6.882022e+00, 3.358574e-01
-8.382777600000e-02, -6.857596e+00, 3.346361e-01
-8.353814400000e-02, -6.827064e+00, 3.346361e-01
-8.324851200000e-02, -6.802638e+00, 3.346361e-01
-8.295888000000e-02, -6.784318e+00, 3.346361e-01
-8.266924800000e-02, -6.765999e+00, 3.358574e-01
-8.237961600000e-02, -6.735466e+00, 3.346361e-01
-8.208998400000e-02, -6.717147e+00, 3.346361e-01
-8.180035200000e-02, -6.704934e+00, 3.358574e-01
-8.151072000000e-02, -6.674401e+00, 3.358574e-01
-8.122108800000e-02, -6.649976e+00, 3.358574e-01
-8.093145600000e-02, -6.619443e+00, 3.358574e-01
-8.064182400000e-02, -6.595017e+00, 3.358574e-01
-8.035219200000e-02, -6.576698e+00, 3.346361e-01
-8.006256000000e-02, -6.558378e+00, 3.346361e-01
-7.977292800000e-02, -6.527846e+00, 3.346361e-01
-7.948329600000e-02, -6.509526e+00, 3.358574e-01
-7.919366400000e-02, -6.485100e+00, 3.358574e-01
-7.890403200000e-02, -6.466781e+00, 3.358574e-01
-7.861440000000e-02, -6.430142e+00, 3.358574e-01
-7.832476800000e-02, -6.411822e+00, 3.358574e-01
-7.803513600000e-02, -6.393503e+00, 3.346361e-01
-7.774550400000e-02, -6.362970e+00, 3.358574e-01
-7.745587200000e-02, -6.338544e+00, 3.358574e-01
-7.716624000000e-02, -6.314118e+00, 3.358574e-01
-7.687660800000e-02, -6.295799e+00, 3.358574e-01
-7.658697600000e-02, -6.271373e+00, 3.358574e-01
-7.629734400000e-02, -6.253053e+00, 3.358574e-01
-7.600771200000e-02, -6.228627e+00, 3.358574e-01
-7.571808000000e-02, -6.198095e+00, 3.358574e-01
-7.542844800000e-02, -6.179775e+00, 3.358574e-01
-7.513881600000e-02, -6.149243e+00, 3.358574e-01
-7.484918400000e-02, -6.124817e+00, 3.358574e-01
-7.455955200000e-02, -6.100391e+00, 3.358574e-01
-7.426992000000e-02, -6.082071e+00, 3.346361e-01
-7.398028800000e-02, -6.051539e+00, 3.358574e-01
-7.369065600000e-02, -6.027113e+00, 3.358574e-01
-7.340102400000e-02, -6.002687e+00, 3.358574e-01
