% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:22 +0200
% Time (s), Channel A (V), Channel B (V)
-1.6525574400e-01, -2.6257938193e+00, 3.3463606867e-01
-1.6523505600e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6521436800e-01, -2.6257938193e+00, 3.3463606867e-01
-1.6519368000e-01, -2.6380068138e+00, 3.3463606867e-01
-1.6517299200e-01, -2.6380068138e+00, 3.3463606867e-01
-1.6515230400e-01, -2.6380068138e+00, 3.3707866771e-01
-1.6513161600e-01, -2.6380068138e+00, 3.3219346963e-01
-1.6511092800e-01, -2.6257938193e+00, 3.3463606867e-01
-1.6509024000e-01, -2.6380068138e+00, 3.3219346963e-01
-1.6506955200e-01, -2.6257938193e+00, 3.3707866771e-01
-1.6504886400e-01, -2.6502198083e+00, 3.3463606867e-01
-1.6502817600e-01, -2.6502198083e+00, 3.3463606867e-01
-1.6500748800e-01, -2.6380068138e+00, 3.3707866771e-01
-1.6498680000e-01, -2.6502198083e+00, 3.3707866771e-01
-1.6496611200e-01, -2.6502198083e+00, 3.3219346963e-01
-1.6494542400e-01, -2.6624328028e+00, 3.3463606867e-01
-1.6492473600e-01, -2.6502198083e+00, 3.3463606867e-01
-1.6490404800e-01, -2.6624328028e+00, 3.3463606867e-01
-1.6488336000e-01, -2.6746457973e+00, 3.3463606867e-01
-1.6486267200e-01, -2.6624328028e+00, 3.3707866771e-01
-1.6484198400e-01, -2.6624328028e+00, 3.3463606867e-01
-1.6482129600e-01, -2.6624328028e+00, 3.3463606867e-01
-1.6480060800e-01, -2.6624328028e+00, 3.3463606867e-01
-1.6477992000e-01, -2.6746457973e+00, 3.3463606867e-01
-1.6475923200e-01, -2.6746457973e+00, 3.3707866771e-01
-1.6473854400e-01, -2.6746457973e+00, 3.3463606867e-01
-1.6471785600e-01, -2.6746457973e+00, 3.3463606867e-01
-1.6469716800e-01, -2.6746457973e+00, 3.3463606867e-01
-1.6467648000e-01, -2.6746457973e+00, 3.3463606867e-01
-1.6465579200e-01, -2.6624328028e+00, 3.3463606867e-01
-1.6463510400e-01, -2.6624328028e+00, 3.3463606867e-01
-1.6461441600e-01, -2.6746457973e+00, 3.3463606867e-01
-1.6459372800e-01, -2.6868587919e+00, 3.3219346963e-01
-1.6457304000e-01, -2.6868587919e+00, 3.3463606867e-01
